Name,Status,Subject,Lecture,Period,Date,SavedAt
student (1),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (10),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (11),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (12),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (13),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (14),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (15),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (16),Absent,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (2),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (3),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (4),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (5),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (6),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (7),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (8),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
student (9),Present,mathematics,rao,Period 1,2025-11-04,2025-11-04 14:49:18
